comment,case_folding,cleansing
"Dan ternyata Bjorka nonton podcast ini sambil ikut ngakak denger ulasan-ulasan nya.😅
Kali aja bang Bjorka mantau komen ane. Bang, tlong hack ane bang, klo bsa chat wa ne, ane mau belajar hack juga, kyanya seru bisa Ngadalin ISILOP😅","dan ternyata bjorka nonton podcast ini sambil ikut ngakak denger ulasan-ulasan nya.😅
kali aja bang bjorka mantau komen ane. bang, tlong hack ane bang, klo bsa chat wa ne, ane mau belajar hack juga, kyanya seru bisa ngadalin isilop😅",dan ternyata bjorka nonton podcast ini sambil ikut ngakak denger ulasanulasan nya kali aja bang bjorka mantau komen ane bang tlong hack ane bang klo bsa chat wa ne ane mau belajar hack juga kyanya seru bisa ngadalin isilop
yg di tangkap ternyata bjirka 😭,yg di tangkap ternyata bjirka 😭,yg di tangkap ternyata bjirka
repormasi polri jadi inimah kwkwkw,repormasi polri jadi inimah kwkwkw,repormasi polri jadi inimah kwkwkw
"wkwk... anak autis. Gw jadi inget temen gw. Dulu punya temen autis pas masih aktif atlit wushu. Tehnik, bentuk gerakan, semua gw bisa ngalahin dia. Tapi cuma ada 1 yg gak bisa dikalahin dulu, fisik nya kuat banget terutama endurance. Gw paling klo jogging pas masih atlit wushu junior gak nyampe 1 jam tanpa henti, paling lama 40 menit. Dia bisa 2 jam. Itu cukup gila sih, buat atlet wushu junior dulu. 😅 beberapa yg gw kenal anak autis, pasti ada aja 1 kelebihan yg dia menonjol kelebihan nya.","wkwk... anak autis. gw jadi inget temen gw. dulu punya temen autis pas masih aktif atlit wushu. tehnik, bentuk gerakan, semua gw bisa ngalahin dia. tapi cuma ada 1 yg gak bisa dikalahin dulu, fisik nya kuat banget terutama endurance. gw paling klo jogging pas masih atlit wushu junior gak nyampe 1 jam tanpa henti, paling lama 40 menit. dia bisa 2 jam. itu cukup gila sih, buat atlet wushu junior dulu. 😅 beberapa yg gw kenal anak autis, pasti ada aja 1 kelebihan yg dia menonjol kelebihan nya.",wkwk anak autis gw jadi inget temen gw dulu punya temen autis pas masih aktif atlit wushu tehnik bentuk gerakan semua gw bisa ngalahin dia tapi cuma ada yg gak bisa dikalahin dulu fisik nya kuat banget terutama endurance gw paling klo jogging pas masih atlit wushu junior gak nyampe jam tanpa henti paling lama menit dia bisa jam itu cukup gila sih buat atlet wushu junior dulu beberapa yg gw kenal anak autis pasti ada aja kelebihan yg dia menonjol kelebihan nya
polisi tukang ngibul 😂😂,polisi tukang ngibul 😂😂,polisi tukang ngibul
nyari rekaman cctv aja gk bisa,nyari rekaman cctv aja gk bisa,nyari rekaman cctv aja gk bisa
Gw nonton vidio ini 15 menit gw cengar cengir aja bro 😁 yg gw paham itu kalo bukan pelaku dia sama sekali ga ngerti cara ngelakuin kejahatan.. Hehe,gw nonton vidio ini 15 menit gw cengar cengir aja bro 😁 yg gw paham itu kalo bukan pelaku dia sama sekali ga ngerti cara ngelakuin kejahatan.. hehe,gw nonton vidio ini menit gw cengar cengir aja bro yg gw paham itu kalo bukan pelaku dia sama sekali ga ngerti cara ngelakuin kejahatan hehe
"Nangkep siplester aja g berani kok, pdahal depan mata😂","nangkep siplester aja g berani kok, pdahal depan mata😂",nangkep siplester aja g berani kok pdahal depan mata
"mending ngeshell, cuan daripada ngurusin begituan 😂","mending ngeshell, cuan daripada ngurusin begituan 😂",mending ngeshell cuan daripada ngurusin begituan
Polisi udh gada harga dirinya,polisi udh gada harga dirinya,polisi udh gada harga dirinya
"Solusi kalo pingin maju ni negara ,, ring satu (hecker kasih penghargaan)
ring dua (TNI)
ring tiga (pertahanan pangan/petani di sejaterahkan)...","solusi kalo pingin maju ni negara ,, ring satu (hecker kasih penghargaan)
ring dua (tni)
ring tiga (pertahanan pangan/petani di sejaterahkan)...",solusi kalo pingin maju ni negara ring satu hecker kasih penghargaan ring dua tni ring tiga pertahanan panganpetani di sejaterahkan
"43:00  kpu bukan dari hacker, sudah sistematis?","43:00  kpu bukan dari hacker, sudah sistematis?",kpu bukan dari hacker sudah sistematis
"mana nihh suara nya , anak anak ./Start-Nethunter 🖥

indonesia ga kekurangan orang pinter , tapi kekurangan orang yang jujur ❤","mana nihh suara nya , anak anak ./start-nethunter 🖥

indonesia ga kekurangan orang pinter , tapi kekurangan orang yang jujur ❤",mana nihh suara nya anak anak startnethunter indonesia ga kekurangan orang pinter tapi kekurangan orang yang jujur
cie cie di ayam sayurin sama bjorka wkwkwk,cie cie di ayam sayurin sama bjorka wkwkwk,cie cie di ayam sayurin sama bjorka wkwkwk
Bjorka nonton ini😂😂,bjorka nonton ini😂😂,bjorka nonton ini
Km citer ya bang😅,km citer ya bang😅,km citer ya bang
Polisinya oon he he,polisinya oon he he,polisinya oon he he
Panutan gue nih teguh aprianto 🙌🏼,panutan gue nih teguh aprianto 🙌🏼,panutan gue nih teguh aprianto
"Bjorka itu ada d balik pemerintahan kyaknya,","bjorka itu ada d balik pemerintahan kyaknya,",bjorka itu ada d balik pemerintahan kyaknya
"saya sebagai anak IT sekelas bjorka tidak mudah di lacak & ip bisa di ubah"" ke lokasi lain","saya sebagai anak it sekelas bjorka tidak mudah di lacak & ip bisa di ubah"" ke lokasi lain",saya sebagai anak it sekelas bjorka tidak mudah di lacak ip bisa di ubah ke lokasi lain
penyanyi mangu kan ni ??,penyanyi mangu kan ni ??,penyanyi mangu kan ni
wkwkwk polse cuma pengen di bilang hebat kali ya😂😂,wkwkwk polse cuma pengen di bilang hebat kali ya😂😂,wkwkwk polse cuma pengen di bilang hebat kali ya
itu polisi nangkap anak punk saya tahu siapa itu bjorka dan... siapa itu fufufafa 0:30,itu polisi nangkap anak punk saya tahu siapa itu bjorka dan... siapa itu fufufafa 0:30,itu polisi nangkap anak punk saya tahu siapa itu bjorka dan siapa itu fufufafa
Ladusing,ladusing,ladusing
Dari suaranya ini teguh white hacker,dari suaranya ini teguh white hacker,dari suaranya ini teguh white hacker
"Mngkin ""Pemerintah""takut klo merekrut anak2 muda Cerdas dan Jago IT,mrk akan membuka borok para pejabat2 korup.krn arti pemerintah adalah org2 yg mengelola Pemerintahan.termasuk ddlmnya ada pembuat kebijakan dan undang2..mrk takut ketahuan dng adanya Anak2 muda Cerdas dalam ahli badan Ahli IT pemerintah..dari dulu sllu anak2 hebat tdk diberdayakan..malah ada yg ditangkap.aneh emang.. akhirnya y gini2 aja kemajuan IT kita .para penipu Dunia Maya makin merajalela,","mngkin ""pemerintah""takut klo merekrut anak2 muda cerdas dan jago it,mrk akan membuka borok para pejabat2 korup.krn arti pemerintah adalah org2 yg mengelola pemerintahan.termasuk ddlmnya ada pembuat kebijakan dan undang2..mrk takut ketahuan dng adanya anak2 muda cerdas dalam ahli badan ahli it pemerintah..dari dulu sllu anak2 hebat tdk diberdayakan..malah ada yg ditangkap.aneh emang.. akhirnya y gini2 aja kemajuan it kita .para penipu dunia maya makin merajalela,",mngkin pemerintahtakut klo merekrut anak muda cerdas dan jago itmrk akan membuka borok para pejabat korupkrn arti pemerintah adalah org yg mengelola pemerintahantermasuk ddlmnya ada pembuat kebijakan dan undangmrk takut ketahuan dng adanya anak muda cerdas dalam ahli badan ahli it pemerintahdari dulu sllu anak hebat tdk diberdayakanmalah ada yg ditangkapaneh emang akhirnya y gini aja kemajuan it kita para penipu dunia maya makin merajalela
Sedang melindungi judoll❤😊,sedang melindungi judoll❤😊,sedang melindungi judoll
"Sebenarnya kalau soal hacking udah banyak kalangan, yang bisa melakukan karna di media sosial ilmu dan hacking sudah terdapat wadah yang bebas, namun dalam hacking terdapat Cyber crime dan seseorang jika menempuh jalur tersebut mereka jauh menutup diri dari sosia mesk bisa dibilang bjorka adalah masyarakat umum umum dengan kemampuan nya dia dan ke viral an nya dia akan lebih menutup diri dari manapun, 

Nah jika, dia pun membuka diri di media sosial dia sudah mengantisipasi hal tersebut","sebenarnya kalau soal hacking udah banyak kalangan, yang bisa melakukan karna di media sosial ilmu dan hacking sudah terdapat wadah yang bebas, namun dalam hacking terdapat cyber crime dan seseorang jika menempuh jalur tersebut mereka jauh menutup diri dari sosia mesk bisa dibilang bjorka adalah masyarakat umum umum dengan kemampuan nya dia dan ke viral an nya dia akan lebih menutup diri dari manapun, 

nah jika, dia pun membuka diri di media sosial dia sudah mengantisipasi hal tersebut",sebenarnya kalau soal hacking udah banyak kalangan yang bisa melakukan karna di media sosial ilmu dan hacking sudah terdapat wadah yang bebas namun dalam hacking terdapat cyber crime dan seseorang jika menempuh jalur tersebut mereka jauh menutup diri dari sosia mesk bisa dibilang bjorka adalah masyarakat umum umum dengan kemampuan nya dia dan ke viral an nya dia akan lebih menutup diri dari manapun nah jika dia pun membuka diri di media sosial dia sudah mengantisipasi hal tersebut
Yang di tangkep itu BJIRKA bukan BJORKA😂,yang di tangkep itu bjirka bukan bjorka😂,yang di tangkep itu bjirka bukan bjorka
"Kalau fufufafa mah bekel legend tuch, sampai sekarang aman, kek diplester yg nggak bisa ketangkap","kalau fufufafa mah bekel legend tuch, sampai sekarang aman, kek diplester yg nggak bisa ketangkap",kalau fufufafa mah bekel legend tuch sampai sekarang aman kek diplester yg nggak bisa ketangkap
Berarti polisi goblo klo slh tangkap,berarti polisi goblo klo slh tangkap,berarti polisi goblo klo slh tangkap
Agenda pengalihan isyu apa lagi polri?,agenda pengalihan isyu apa lagi polri?,agenda pengalihan isyu apa lagi polri
"mau nangkap bjorka, kemampuan gk nyampe hahahah, kalo gak pake bantuan FBI, polisi cyber indo gak bisa apa apa ahahhaha 😂, ingat banget kasus bocah kalimantan yang di tangkap polisi itu semua karna campur tangan nya FBI polisi indo tugas nya cuman grebek doang 😂","mau nangkap bjorka, kemampuan gk nyampe hahahah, kalo gak pake bantuan fbi, polisi cyber indo gak bisa apa apa ahahhaha 😂, ingat banget kasus bocah kalimantan yang di tangkap polisi itu semua karna campur tangan nya fbi polisi indo tugas nya cuman grebek doang 😂",mau nangkap bjorka kemampuan gk nyampe hahahah kalo gak pake bantuan fbi polisi cyber indo gak bisa apa apa ahahhaha ingat banget kasus bocah kalimantan yang di tangkap polisi itu semua karna campur tangan nya fbi polisi indo tugas nya cuman grebek doang
ngimpi x nangkep hacker berkelas 😂,ngimpi x nangkep hacker berkelas 😂,ngimpi x nangkep hacker berkelas
"Jadi inget Pemilu tahun 2004, semua partai gambarnya diganti dengan buah-buahan.. dan pemerintah malah menangkap sebagai kriminal, sedangkan pihak swasta luar negeri justru merekrut sebagai teknisi profesional. Dan pelakunya adalah Admin salah satu warnet di Jogja. CMIIW","jadi inget pemilu tahun 2004, semua partai gambarnya diganti dengan buah-buahan.. dan pemerintah malah menangkap sebagai kriminal, sedangkan pihak swasta luar negeri justru merekrut sebagai teknisi profesional. dan pelakunya adalah admin salah satu warnet di jogja. cmiiw",jadi inget pemilu tahun semua partai gambarnya diganti dengan buahbuahan dan pemerintah malah menangkap sebagai kriminal sedangkan pihak swasta luar negeri justru merekrut sebagai teknisi profesional dan pelakunya adalah admin salah satu warnet di jogja cmiiw
plot twis bjorkanya adalah bahlil,plot twis bjorkanya adalah bahlil,plot twis bjorkanya adalah bahlil
"Yg simple fufufafa cuma 1 akun doang aja polisi cyber kgk bisa nangkep,ini kok bisa""nya nangkep bjorka.itu mah paling bocah baru belajar phising doang .
Beritanya dugaan tapi udah di pakein baju tahanan,padahal bukti aja belum jelas .mana coba ada gak bukti yg di tampilin ke media klo emng dia bner"" meretas?
Mo bikin gebrakan apan sih bapak"" institusi dan bocah layu itu?😂😂","yg simple fufufafa cuma 1 akun doang aja polisi cyber kgk bisa nangkep,ini kok bisa""nya nangkep bjorka.itu mah paling bocah baru belajar phising doang .
beritanya dugaan tapi udah di pakein baju tahanan,padahal bukti aja belum jelas .mana coba ada gak bukti yg di tampilin ke media klo emng dia bner"" meretas?
mo bikin gebrakan apan sih bapak"" institusi dan bocah layu itu?😂😂",yg simple fufufafa cuma akun doang aja polisi cyber kgk bisa nangkepini kok bisanya nangkep bjorkaitu mah paling bocah baru belajar phising doang beritanya dugaan tapi udah di pakein baju tahananpadahal bukti aja belum jelas mana coba ada gak bukti yg di tampilin ke media klo emng dia bner meretas mo bikin gebrakan apan sih bapak institusi dan bocah layu itu
BJORKA itu kesatuan bukan perorangan iyakan je 1 etamgkep satu batalyon masih bebas,bjorka itu kesatuan bukan perorangan iyakan je 1 etamgkep satu batalyon masih bebas,bjorka itu kesatuan bukan perorangan iyakan je etamgkep satu batalyon masih bebas
"kebodohan Hukum di konoha, orang pinter IT bukanya di Rekrut negara malah beneran di penjara,
jauh sama negara india  orang² sana yg pinter meskipun FBI nyari pasti di lindungi + malah di rekrut pemerintah mangkanya skrng populer tenaga kerjanya di butuhkan bnyak negara..","kebodohan hukum di konoha, orang pinter it bukanya di rekrut negara malah beneran di penjara,
jauh sama negara india  orang² sana yg pinter meskipun fbi nyari pasti di lindungi + malah di rekrut pemerintah mangkanya skrng populer tenaga kerjanya di butuhkan bnyak negara..",kebodohan hukum di konoha orang pinter it bukanya di rekrut negara malah beneran di penjara jauh sama negara india orang sana yg pinter meskipun fbi nyari pasti di lindungi malah di rekrut pemerintah mangkanya skrng populer tenaga kerjanya di butuhkan bnyak negara
"Coba kalian bikin account atas nama RIZA KHALID, BATMAN atau SUPERMAN supaya 0KNUM terkesan hebat karena WAAHH 0KNUM INDONESIA MENANGKAP SUPERMAN.... 👉👉👮👮🫵🫵😂😂💨💨💨","coba kalian bikin account atas nama riza khalid, batman atau superman supaya 0knum terkesan hebat karena waahh 0knum indonesia menangkap superman.... 👉👉👮👮🫵🫵😂😂💨💨💨",coba kalian bikin account atas nama riza khalid batman atau superman supaya knum terkesan hebat karena waahh knum indonesia menangkap superman
17:46 salah pancing sih 😂,17:46 salah pancing sih 😂,salah pancing sih
"Jadi kalo yang namanya hacker itu gak akan bisa di tangkap??
KOCAKK, namanya hacker itu mau sehebat apapun pasti bisa ketangkep.
Contoh hacker kelas dunia yg pernah ditengkap..
.
Kevin Mitnick hacker yg meretas sistem perusahaan besar seperti IBM, Motorola, dan Nokia.
Adrian Lamo hacker yg ngeretas sistem The New York Times, Microsoft, dan Yahoo.
Jonathan James hacker yang ngeretas server NASA dan Departemen Pertahanan AS
dll
.
itu mereka hacker kelas dunia bukan hacker kaleng2 semua BISA ditangkap dan dipenjara karena ada perumpamaan diatas langit masih ada langit, apalagi cuma sekelas bjorka yang katanya bisa meretas data nasabah, 
klo skdr data nasabah itu gk perlu di hack heck, itu di internet banyak data nasabah berseliweran, atau lu jadi bagian dari admin pinjol, itu admin pinjol itu memegang jutaan data nasabah indonesia, malah lebih valid karena untuk pinjol itu nasabah selain disuruh kirim data pribadi kayak KTP, KK, juga kadang disuruh foto dengan memegang selembar kertas bertuliskan nama dia,
..
Mindset warga +62 emg rada2 wkwkwk
jadi tanya baik2 sama yg katanya bjorka itu lu dapat data nasabah dari hack atau beli sama admin pinjol?
atau mungkin si bjorka itu sendiri yang admin pinjol? wkwkwkwkk
.
data nasabah di konoha itu bukan barang private lagi, kadang warganya sendiri yang dengan sukarela menyerahkan dara pribadi mereka di aplikasi2 gak jelas, ntar klo suatu saat data mereka kesebar yang disalahkan pemerintah.....wkwkwk kocakkkkkkk","jadi kalo yang namanya hacker itu gak akan bisa di tangkap??
kocakk, namanya hacker itu mau sehebat apapun pasti bisa ketangkep.
contoh hacker kelas dunia yg pernah ditengkap..
.
kevin mitnick hacker yg meretas sistem perusahaan besar seperti ibm, motorola, dan nokia.
adrian lamo hacker yg ngeretas sistem the new york times, microsoft, dan yahoo.
jonathan james hacker yang ngeretas server nasa dan departemen pertahanan as
dll
.
itu mereka hacker kelas dunia bukan hacker kaleng2 semua bisa ditangkap dan dipenjara karena ada perumpamaan diatas langit masih ada langit, apalagi cuma sekelas bjorka yang katanya bisa meretas data nasabah, 
klo skdr data nasabah itu gk perlu di hack heck, itu di internet banyak data nasabah berseliweran, atau lu jadi bagian dari admin pinjol, itu admin pinjol itu memegang jutaan data nasabah indonesia, malah lebih valid karena untuk pinjol itu nasabah selain disuruh kirim data pribadi kayak ktp, kk, juga kadang disuruh foto dengan memegang selembar kertas bertuliskan nama dia,
..
mindset warga +62 emg rada2 wkwkwk
jadi tanya baik2 sama yg katanya bjorka itu lu dapat data nasabah dari hack atau beli sama admin pinjol?
atau mungkin si bjorka itu sendiri yang admin pinjol? wkwkwkwkk
.
data nasabah di konoha itu bukan barang private lagi, kadang warganya sendiri yang dengan sukarela menyerahkan dara pribadi mereka di aplikasi2 gak jelas, ntar klo suatu saat data mereka kesebar yang disalahkan pemerintah.....wkwkwk kocakkkkkkk",jadi kalo yang namanya hacker itu gak akan bisa di tangkap kocakk namanya hacker itu mau sehebat apapun pasti bisa ketangkep contoh hacker kelas dunia yg pernah ditengkap kevin mitnick hacker yg meretas sistem perusahaan besar seperti ibm motorola dan nokia adrian lamo hacker yg ngeretas sistem the new york times microsoft dan yahoo jonathan james hacker yang ngeretas server nasa dan departemen pertahanan as dll itu mereka hacker kelas dunia bukan hacker kaleng semua bisa ditangkap dan dipenjara karena ada perumpamaan diatas langit masih ada langit apalagi cuma sekelas bjorka yang katanya bisa meretas data nasabah klo skdr data nasabah itu gk perlu di hack heck itu di internet banyak data nasabah berseliweran atau lu jadi bagian dari admin pinjol itu admin pinjol itu memegang jutaan data nasabah indonesia malah lebih valid karena untuk pinjol itu nasabah selain disuruh kirim data pribadi kayak ktp kk juga kadang disuruh foto dengan memegang selembar kertas bertuliskan nama dia mindset warga emg rada wkwkwk jadi tanya baik sama yg katanya bjorka itu lu dapat data nasabah dari hack atau beli sama admin pinjol atau mungkin si bjorka itu sendiri yang admin pinjol wkwkwkwkk data nasabah di konoha itu bukan barang private lagi kadang warganya sendiri yang dengan sukarela menyerahkan dara pribadi mereka di aplikasi gak jelas ntar klo suatu saat data mereka kesebar yang disalahkan pemerintahwkwkwk kocakkkkkkk
